dex,species,direct_source_examples,evolution_route,validation_limit
1,BULBASAUR,engine/data/maps/CeruleanCity_House4_Frlg/scripts.inc:ScY_Bulbasaur (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
2,IVYSAUR,,"BULBASAUR: EVOLVE_LEVEL, 16",Source coverage; integrated engine evolution and spatial playthrough required
3,VENUSAUR,,"IVYSAUR: EVOLVE_LEVEL, 32",Source coverage; integrated engine evolution and spatial playthrough required
4,CHARMANDER,engine/data/maps/Route24_Frlg/scripts.inc:ScY_Charmander (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
5,CHARMELEON,,"CHARMANDER: EVOLVE_LEVEL, 16",Source coverage; integrated engine evolution and spatial playthrough required
6,CHARIZARD,,"CHARMELEON: EVOLVE_LEVEL, 36",Source coverage; integrated engine evolution and spatial playthrough required
7,SQUIRTLE,engine/data/maps/VermilionCity_Frlg/scripts.inc:ScY_Squirtle (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
8,WARTORTLE,,"SQUIRTLE: EVOLVE_LEVEL, 16",Source coverage; integrated engine evolution and spatial playthrough required
9,BLASTOISE,,"WARTORTLE: EVOLVE_LEVEL, 36",Source coverage; integrated engine evolution and spatial playthrough required
10,CATERPIE,MAP_VIRIDIAN_FOREST land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
11,METAPOD,MAP_VIRIDIAN_FOREST land_mons,"CATERPIE: EVOLVE_LEVEL, 7",Source coverage; integrated engine evolution and spatial playthrough required
12,BUTTERFREE,,"METAPOD: EVOLVE_LEVEL, 10",Source coverage; integrated engine evolution and spatial playthrough required
13,WEEDLE,MAP_VIRIDIAN_FOREST land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
14,KAKUNA,,"WEEDLE: EVOLVE_LEVEL, 7",Source coverage; integrated engine evolution and spatial playthrough required
15,BEEDRILL,,"KAKUNA: EVOLVE_LEVEL, 10",Source coverage; integrated engine evolution and spatial playthrough required
16,PIDGEY,MAP_ROUTE1 land_mons; MAP_ROUTE11 land_mons; MAP_ROUTE12 land_mons; MAP_ROUTE2 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
17,PIDGEOTTO,MAP_ROUTE11 land_mons; MAP_ROUTE13 land_mons; MAP_ROUTE24 land_mons; MAP_ROUTE25 land_mons,"PIDGEY: EVOLVE_LEVEL, 18",Source coverage; integrated engine evolution and spatial playthrough required
18,PIDGEOT,,"PIDGEOTTO: EVOLVE_LEVEL, 36",Source coverage; integrated engine evolution and spatial playthrough required
19,RATTATA,MAP_POKEMON_MANSION_1F land_mons; MAP_POKEMON_MANSION_2F land_mons; MAP_POKEMON_MANSION_3F land_mons; MAP_ROUTE1 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
20,RATICATE,MAP_POKEMON_MANSION_1F land_mons; MAP_POKEMON_MANSION_2F land_mons; MAP_POKEMON_MANSION_3F land_mons; MAP_POKEMON_MANSION_B1F land_mons,"RATTATA: EVOLVE_LEVEL, 20",Source coverage; integrated engine evolution and spatial playthrough required
21,SPEAROW,MAP_ROUTE16 land_mons; MAP_ROUTE18 land_mons; MAP_ROUTE22 land_mons; MAP_ROUTE3 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
22,FEAROW,MAP_ROUTE16 land_mons; MAP_ROUTE17 land_mons; MAP_ROUTE18 land_mons; MAP_ROUTE23 land_mons,"SPEAROW: EVOLVE_LEVEL, 20",Source coverage; integrated engine evolution and spatial playthrough required
23,EKANS,MAP_ROUTE4 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
24,ARBOK,MAP_VICTORY_ROAD_1F_FRLG land_mons,"EKANS: EVOLVE_LEVEL, 22",Source coverage; integrated engine evolution and spatial playthrough required
25,PIKACHU,MAP_VIRIDIAN_FOREST land_mons; engine/data/maps/PalletTown_ProfessorOaksLab_Frlg/scripts.inc:ScY_ReceivePikachu (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
26,RAICHU,,"PIKACHU: EVOLVE_ITEM, THUNDER_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
27,SANDSHREW,MAP_MT_MOON_1F land_mons; MAP_ROUTE3 land_mons; MAP_ROUTE4 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
28,SANDSLASH,MAP_CERULEAN_CAVE_1F land_mons,"SANDSHREW: EVOLVE_LEVEL, 22",Source coverage; integrated engine evolution and spatial playthrough required
29,NIDORAN_F,MAP_ROUTE10 land_mons; MAP_ROUTE2 land_mons; MAP_ROUTE22 land_mons; MAP_ROUTE9 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
30,NIDORINA,MAP_ROUTE23 land_mons; MAP_ROUTE9 land_mons; MAP_SAFARI_ZONE_EAST land_mons; MAP_SAFARI_ZONE_NORTH_FRLG land_mons,"NIDORAN_F: EVOLVE_LEVEL, 16",Source coverage; integrated engine evolution and spatial playthrough required
31,NIDOQUEEN,,"NIDORINA: EVOLVE_ITEM, MOON_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
32,NIDORAN_M,MAP_ROUTE10 land_mons; MAP_ROUTE2 land_mons; MAP_ROUTE22 land_mons; MAP_ROUTE9 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
33,NIDORINO,MAP_ROUTE23 land_mons; MAP_ROUTE9 land_mons; MAP_SAFARI_ZONE_CENTER land_mons; MAP_SAFARI_ZONE_NORTH_FRLG land_mons,"NIDORAN_M: EVOLVE_LEVEL, 16",Source coverage; integrated engine evolution and spatial playthrough required
